8,16,128
9,19,162
10,22,200
11,26,242
12,29,288
13,33,338
14,37,392
15,41,450
16,45,512
17,49,578
18,53,648
19,57,722
20,62,800
21,66,882
22,70,968
23,75,1058
24,80,1152
25,84,1250
26,89,1352
27,94,1458
28,98,1568
29,103,1682
30,108,1800
31,113,1922
32,118,2048
33,123,2178
34,128,2312
35,133,2450
36,139,2592
37,144,2738
38,149,2888
39,154,3042
40,160,3200
41,165,3362
42,170,3528
43,176,3698
44,181,3872
45,187,4050
46,192,4232
47,198,4418
48,203,4608
49,209,4802
50,215,5000
51,220,5202
52,226,5408
53,232,5618
54,238,5832
55,243,6050
56,249,6272
57,255,6498
58,261,6728
59,267,6962
60,273,7200
61,279,7442
62,285,7688
63,290,7938
64,296,8192
